,text
0,These are testing times and we need to wake up to the seriousness of this situation. Please let us all follow what'… https://t.co/8nlhTa9zjH
1,"RT @narendramodi: By converging around shops, you are risking the spread of COVID-19.

No panic buying please.

Please stay indoors. 

I re…"
2,"RT @narendramodi: My fellow citizens, 

THERE IS ABSOLUTELY NO NEED TO PANIC.

Essential commodities, medicines etc. would be available. Ce…"
4,"As our Honourable Prime Minister, Shri @NarendraModi ji just announced, the whole country is going into a lockdown… https://t.co/5V0XjH1Pqo"
5,The need of the hour is to absolutely respect and follow the government's directive. Stay home. Stay safe. Stay hea… https://t.co/D0IxoA1D5i
6,"Also, special mention to all the medical professionals in the country and around the globe for all the efforts bein… https://t.co/lwP3xHn6nL"
7,"Be alert, attentive and aware to combat the threat posed by the Covid 19. We, as responsible citizens, need to adhe… https://t.co/8LvP4l7wu2"
8,"Let's stay strong and fight the #COVID19 outbreak by taking all precautionary measures. Stay safe, be vigilant and… https://t.co/TCveQZ2WSG"
9,Stay true to the man in the mirror. https://t.co/ln3PxjSYtX
10,Wishing everyone a joyful and a safe Holi. May the festivities bring a lot of colors to your life. 😇 #HappyHoli
13,Proud of all the efforts put in by the Indian Women's Cricket Team throughout their #T20WorldCup campaign. I'm conf… https://t.co/7387yDbHAi
14,"Are you ready for the #iQOO challenge? 
Think you can do better than this? Then:
1️⃣ Share your video with… https://t.co/4MzB9zHKN7"
15,Gaurs! It's time to rise! Wishing @FCGoaOfficial and the fans all the best for the semi-final today. We are one ste… https://t.co/wI0O51f7Yx
16,"Happy birthday, Sir @ivivianrichards. Wishing you good health and happiness. Have a great year ahead. 🎂"
17,Change is the only constant 🙌🏼 https://t.co/ru47WRhB5F
18,Congratulations to the Indian Women's team on qualifying for the @T20WorldCup final. We are proud of you girls and… https://t.co/cXOohnLwos
19,Big ups to the Gaurs on becoming the first-ever Indian club to qualify for the AFC Champions League group stage and… https://t.co/2cd0vfxPU1
20,Good session out in the middle 💪💪  #NZvIND https://t.co/AdjtWSX2em
22,Congratulations Sachin paaji on being honoured with the prestigious Laureus Sporting Moment Award. A great achievem… https://t.co/UF2lJi8Bm4
23,"Happy bday brother. Wish you all the happiness and good health and lots of love to the family. See you soon 💪😃
@ABdeVilliers17"
24,Naya post Sundar dost 🤪 https://t.co/2ZQ9R9IeSB
26,LOGO ka kaam hai kehna. 😄 Thrilled to see our new @rcbtweets logo. It embodies the Bold pride and challenger spirit… https://t.co/5Mr5u4TKlQ
27,"Posts disappear and the captain isn’t informed. 😨 @rcbtweets, let me know if you need any help."
28,"A friend, teammate, mentor and icon. Let's all come together and vote for @sachin_rt paaji for the Laureus Sporting… https://t.co/bxhoxnsMHO"
29,"Sending my best wishes to the Indian U19 Cricket Team ahead of their World Cup final. The nation is behind you, bri… https://t.co/uAqUgfXKXN"
31,"Proud, historic, ecstatic; everything was this moment. 😇 #JaiHind 🇮🇳 https://t.co/btPtkPB6oO"
32,Rising up to every challenge. What a game! 💯 👊🇮🇳 #NZvIND https://t.co/5kUSbD3P4m
33,Life is a blessing. 😇 https://t.co/5MWTmUxWeA
34,That's how we do it! 💪🏼💪🏼💪🏼 #NZvIND https://t.co/Ej97E0ciLJ
35,Stronger together. 🙌🏼 Happy Republic Day to all of us. Jai Hind 🇮🇳 https://t.co/HRP8fQ27XS
36,Your love and support has made this such a  memorable journey. As we draw towards the #seasonfinale of @TheSuperV t… https://t.co/I9qFRPtj34
37,Cracker of a game! 👊🏼 Good win boys. 👏🏼😎 @BCCI https://t.co/khWF2q2598
38,"Stylish, elegant and classy. An absolute beast the Audi Q8 😎👌Glad to be a part of the launch with Mr Balbir Singh D… https://t.co/ByyjaICrXO"
39,Top team gym session and a good meal out in beautiful Auckland 👌👌 @im_manishpandey @imjadeja @klrahul11 https://t.co/nAuA1ro58h
40,Touchdown Auckland. Let’s go 🇮🇳 @imShard @ShreyasIyer15 https://t.co/8Lo2c1usmM
42,Soaring High 🏆🇮🇳💙 #IndvAus https://t.co/Zjo3mReSWD
43,"Excited to reveal Blends, the latest EDT range of perfume by #one8Fragrances. 🥳 A scent you just can't miss. 😎 Go,… https://t.co/7sLbCpi1Uv"
46,Hold your ground 🤜 #one8 https://t.co/yXBRniOcmr
47,Way to go! 💪🏼💪🏼💪🏼 #strongertogether https://t.co/hUmMbcdQRm
48,Ball out of the Bowlers hand and Chholle Bhature for a cheat meal deserve the same kind of focus. 👀😄 https://t.co/ctEs96bvQa
49,Pune ✈️✈️ @imjadeja @imShard https://t.co/ZfS9mqPBi6
50,Set to go again 👍🇮🇳 https://t.co/ix9iejzHeg
51,"Started from them flip flops, now we here! 😎😁 @pumacricket https://t.co/pjp6DvXlXM"
52,On point for 2020 ❤️ https://t.co/mBm2ccWVPM
53,No stress about pictures when you’ve got the best photographer taking them for you 😃😍 @AnushkaSharma https://t.co/uK3XO4dFhZ
54,Another feather in the cap for you guys. 👍🏼 Congratulations @HeroMotoCorp on winning the #IMOTY2020 award.… https://t.co/TKd0vM1oIr
55,Congratulations Amitabh Bachchan ji on being conferred the prestigious #DadaSahebPhalkeAward. 💐Through your contrib… https://t.co/SgXL4oodPz
56,❄️⛷😃 https://t.co/H70Vt6DJNn
57,Congratulations to Sakshi Chaudhary on her brilliant performance and being selected for the #OlympicQualifiers 👏@vkfofficial
58,2020 loading 😉 #one8 https://t.co/MtaaO0vDDt
59,Lights. Camera 📸..... #one8 https://t.co/5TtfJ7g0cW
60,"RT @StarSportsIndia: Watch @imVKohli dress up as 🎅 and bring a little Christmas cheer to the kids who cheer our sportspersons on, all year…"
61,Tula maanla re Thakur 👏😎😄 @imShard https://t.co/fw9z3dZ8Zi
63,A day off and an afternoon with the boys is exactly what we needed 😃🤙 https://t.co/6K3KLW63iJ
64,"When we stand together as one, nothing can stop us 🇮🇳 https://t.co/tTpoWxM03P"
65,Thanks @DangeRussWilson for this lovely gesture. 👍 A match jersey is always special to have and I'm happy to receiv… https://t.co/AXKr6nNagU
66,Touchdown Chennai 🤙 @imkuldeep18 @imjadeja https://t.co/uWDyrCIi7I
67,Happy bday Paaji. God bless you. 😊 @YUVSTRONG12
68,"Super squad 💯 🇮🇳
Thankyou for the fantastic support 🙌🏼 https://t.co/MuN9JxVWEp"
69,In reality there is only love and nothing else. And when god blesses you with the person who makes you realise that… https://t.co/yKOJ3wWLAm
70,@ivivianrichards Thanks big BOSS. Coming from you means a lot 🙏🏼
71,@SrBachchan Haha love the dialogue Sir. You’re always an inspiration. 🙌🏼
72,Good way to start the series. Lots of positives to take from today's win. 👍#INDvWI https://t.co/UPrUz1fKUK
73,Mood 👌 https://t.co/DjC0Q0SJcL
74,"It's not very often I get to walk into a store. But when I do, I know just what to get 😎
@OceanBeverages @TooYumm… https://t.co/ydIIFnavqy"
75,Hyderabad bound 🛫 @klrahul11 @IamShivamDube https://t.co/39lLI0uNDC
76,Join in on the limitless feeling with @MuveAcoustics! 👊 #IAmLimitless https://t.co/XX4dEemg0M
77,"Congratulations Pandey ji. Wish you both a lifetime of beautiful moments and happiness. God bless you both 😇🙏
@im_manishpandey"
79,"What happened in Hyderabad is absolutely shameful. 
It's high time we as a society  take charge and put an end to these inhumane tragedies."
80,"A big thank you for the amazing response to @TheSuperV ❤️

Well this is just the start, there is a lot more in stor… https://t.co/hsrzIVObfE"
81,About last night. At the movies with this hottie 😍❤️ @AnushkaSharma https://t.co/VwYCLbieCL
82,Walking together in the journey of life with nothing But love❤ @AnushkaSharma https://t.co/pxq0iZ8Z8A
83,Remembering the bravehearts and the innocent civilians who lost their lives during the 26/11 attacks. Gone but never forgotten.  🙏🇮🇳
84,"Love group conditioning sessions. And when Jaddu is in the group, it’s almost impossible to outrun him 😃👌.… https://t.co/QP987i62t0"
85,"Kolkata you have been amazing. 🙌🏼
Terrific display by the lads. 💪🏼Let's keep the momentum going 🇮🇳 https://t.co/TBrP1fGNKw"
87,Good practice gets you in sync. All set for the historic test ✌️🇮🇳 https://t.co/jsGmSAW0Nm
88,Partners in crime🤝.. Crime : stealing doubles from fielders at the boundary 😃. Guess who 🤔 https://t.co/Gk1x6lBIvm
89,"5 years ago today, something really Wrogn came to life. And since then, everything turned out just right. 🙏🏼😇… https://t.co/LvXv5QLdlx"
90,No days off. #one8innerwear https://t.co/ZlSdwSikqb
91,"Hey guys, I've  got something exciting for you from @remit2india 😎 

Refer your friends now through the links below… https://t.co/zgzgvcD5VJ"
92,"Top notch performance💯
Way to go boys 👌 #INDvBAN https://t.co/frTeHr5DNj"
93,Training done ✔️ Great to be back with the boys 👍 https://t.co/Wq9J6nHMez
94,Happy gurpurab to everyone 🙏😇 https://t.co/YE14bJBtGS
96,"Watch me play LIVE in New Zealand. 😎

Follow the steps to participate. Also,10 lucky winners will stand a chance to… https://t.co/ChtNx3t73V"
192,What a blessing to be able to visit such divine places with my soulmate. Also thank you everyone for your kind wish… https://t.co/Wx3NZsOY6f
193,"My journey and life's lessons explained to a 15-year old me. Well, I tried my best writing this down. Do give it a… https://t.co/xpjDb32BSk"
194,"Puma always stepping up their sneaker game 🔥

Loved the new RS 9.8 from the PUMA x TETRIS Collab 💯 Grab yours at se… https://t.co/bgvXBVXxoM"
195,A good cover drive is therapeutic 🙌🏼 https://t.co/ERtGhltAR2
196,"When the tribe comes together, everything goes perfectly WROGN. 👌

Had a great time shooting for @StayWrogn #AW19… https://t.co/ZcotB5TF1a"
198,"So here it is! With every festive combo purchase, you stand a chance to win a miniature bat, signed by me.

So hurr… https://t.co/vyWA0hXTuS"
199,But before that here's what my friends at @MuveAcoustics did to celebrate the  #GiftOfPureSound… https://t.co/z1bP7bhkto
200,I've got something special to add to your festive celebrations. Stay tuned to this space to find out more.… https://t.co/62FkRUBhRI
201,Happy Diwali to everyone. May the Festival of Lights light up your lives and bring more love and peace to all 🙏😇❤️ https://t.co/36Gr0aA6ae
202,Beautiful thing about sport is that rivalries stay on field and just with a smile &amp; an open mind all tension betwee… https://t.co/ucjNdGkHB0
203,"Back at it, surprising those shopping #Oceanone8 😁. Had a good time interacting with everyone. Thanks… https://t.co/ujcADoLU95"
205,"This superhero is capable of doing things even I can't! 😍

Watch the brand-new animated series #SuperV airing on my… https://t.co/0sftxLCpFJ"
206,The new Audi A6 is here and there isn’t a better way to start this year’s festivities. It was a pleasure being at t… https://t.co/f2diWCYFEW
207,Wishing the fans and @FCGoaOfficial all the very best as we kickstart the season of the @IndSuperLeague 👍  I'll be… https://t.co/F1fwONyoss
208,#WaybackWednesday https://t.co/2pKm5N3a8V
209,"Loved the documentary James, glad you put it out there. @lightningwilks https://t.co/x7AkCr5R5Z"
